Date,Open,High,Low,Close,Adj Close,Volume
2017-10-25,197500,199500,195000,198500,195042.5469,235953
2017-10-26,198500,200500,195000,195500,192094.7969,219362
2017-10-27,194500,196500,191000,195000,191603.5156,345506
2017-10-30,197000,203000,195500,202500,198972.8594,381343
2017-10-31,204000,206500,201000,206000,202411.9219,395599
2017-11-01,220000,224500,215000,224500,220589.6875,1325337
2017-11-02,226000,227500,221500,225000,221080.9688,472515
2017-11-03,220500,222000,212500,220000,216168.0625,629297
2017-11-06,216000,219000,213500,217500,213711.6094,267576
2017-11-07,217000,221000,215000,221000,217150.6563,284111
2017-11-08,219000,223500,216500,221000,217150.6563,221294
2017-11-09,221500,223000,219500,221500,217641.9375,227263
2017-11-10,220500,223000,218500,221000,217150.6563,131534
2017-11-13,218000,220500,210000,212500,208798.7031,318541
2017-11-14,213000,214500,208000,214000,210272.5625,269646
2017-11-15,210500,217500,209500,217500,213711.6094,299474
2017-11-16,217500,218000,213500,215500,211746.4375,208965
2017-11-17,219000,224000,217000,220000,216168.0625,326069
2017-11-20,221000,221000,211500,214500,210763.8594,248268
2017-11-21,215500,218500,214000,218500,214694.1875,150510
2017-11-22,220000,228500,217000,227500,223537.4219,554363
2017-11-23,229500,232500,227000,229500,225502.5938,351764
2017-11-24,228500,233500,228000,232500,228450.3438,230904
2017-11-27,234000,234000,221500,222500,218624.5,462103
2017-11-28,223000,224000,215000,220000,216168.0625,279866
2017-11-29,220000,224000,219500,220500,216659.3438,176946
2017-11-30,214000,216500,212000,212000,208307.3906,397586
2017-12-01,213500,217000,211500,214500,210763.8594,240475
2017-12-04,215500,217500,212000,214000,210272.5625,306716
2017-12-05,210500,211500,202000,204000,200446.75,514290
2017-12-06,204000,207500,201500,202500,198972.8594,304323
2017-12-07,204500,209000,203000,208000,204377.0781,382306
2017-12-08,209000,211500,207500,209500,205850.9531,227996
2017-12-11,211500,212000,208000,210000,206342.2188,186698
2017-12-12,213000,218000,209500,213500,209781.2813,356468
2017-12-13,215000,217000,211500,217000,213220.2969,284118
2017-12-14,217500,218000,210500,210500,206833.5313,410541
2017-12-15,213500,216000,209000,209000,205359.6563,242106
2017-12-18,210500,211000,205000,208000,204377.0781,152505
2017-12-19,210000,213500,208000,209000,205359.6563,211626
2017-12-21,210000,210000,201000,202000,198481.6094,281320
2017-12-22,201500,204500,199500,202500,198972.8594,260801
2017-12-26,202500,203000,195000,195000,191603.5156,388845
2017-12-27,195000,199500,195000,197500,195060.2656,286908
2017-12-28,196500,205500,196500,204500,201973.7969,263440
2018-01-02,207500,212500,206500,212000,209381.1406,256209
2018-01-03,209500,213000,207000,207500,204936.75,243427
2018-01-04,210000,211500,207000,208500,205924.375,288525
2018-01-05,209500,221000,209500,220500,217776.1406,631052
2018-01-08,224500,227000,222000,225500,222714.375,395868
2018-01-09,225000,227000,217000,219500,216788.5,318641
2018-01-10,221500,221500,211000,213500,210862.625,320655
2018-01-11,216000,217000,211500,214500,211850.2656,344856
2018-01-12,217500,218500,212000,215500,212837.9063,207713
2018-01-15,213000,215500,211000,213000,210368.8125,197666
2018-01-16,215500,217500,213500,216500,213825.5625,215395
2018-01-17,216500,219000,212000,214500,211850.2656,296120
2018-01-18,218500,223500,216000,218000,215307.0313,378700
2018-01-19,218000,220500,202000,204000,201479.9844,969072
2018-01-22,202000,205000,198000,203000,200492.3125,580327
2018-01-23,204000,205000,199500,201000,198517.0313,608934
2018-01-24,207500,210500,204500,208000,205430.5625,645722
2018-01-25,215000,215500,209000,210000,207405.8438,642179
2018-01-26,211000,212000,204500,207000,204442.9219,384321
2018-01-29,209000,210000,208000,209000,206418.2188,200975
2018-01-30,207500,208000,203500,204500,201973.7969,359741
2018-01-31,202500,203000,196000,197000,194566.4531,889811
2018-02-01,197000,198000,185000,187500,185183.7969,1296858
2018-02-02,184500,185000,175000,179000,176788.8125,1541960
2018-02-05,174000,176000,171000,175000,172838.2188,1147535
2018-02-06,169000,177500,168500,177000,174813.5156,685967
2018-02-07,179500,180000,172000,172000,169875.2656,662100
2018-02-08,171500,177500,171500,175000,172838.2188,458644
2018-02-09,169000,171500,168000,170000,167899.9844,382665
2018-02-12,171500,176000,170500,174000,171850.5625,348174
2018-02-13,176500,177000,172000,172500,170369.0781,364983
2018-02-14,174500,180500,174000,180500,178270.2656,386259
2018-02-19,184000,185000,180000,182500,180245.5781,282469
2018-02-20,182000,182500,178500,179500,177282.625,223122
2018-02-21,179000,180000,177000,178000,175801.1563,220036
2018-02-22,176500,179500,176000,179000,176788.8125,150548
2018-02-23,180500,183000,180000,182000,179751.75,179995
2018-02-26,184000,184000,175500,177000,174813.5156,329449
2018-02-27,178000,179500,175000,175500,173332.0313,298657
2018-02-28,174000,174500,170000,171000,168887.6406,380856
2018-03-02,169500,172000,168500,170500,168393.7969,249335
2018-03-05,172000,173500,170000,170000,167899.9844,168451
2018-03-06,172500,179500,172000,179500,177282.625,378661
2018-03-07,179500,182500,177000,178000,175801.1563,318101
2018-03-08,179000,182000,178500,182000,179751.75,335895
2018-03-09,185000,196500,184500,196500,194072.625,1178221
2018-03-12,202000,206000,199500,202500,199998.5,598690
2018-03-13,199000,203500,199000,202000,199504.7031,403440
2018-03-14,205500,212500,204000,206500,203949.0781,953548
2018-03-15,210500,215000,207000,214500,211850.2656,633572
2018-03-16,215500,217000,211000,215500,212837.9063,498717
2018-03-19,214500,215000,205000,206000,203455.2813,635991
2018-03-20,203500,209000,201500,208500,205924.375,289067
2018-03-21,208000,208000,203000,204500,201973.7969,364147
2018-03-22,204000,210000,203500,208000,205430.5625,355010
2018-03-23,202000,203000,199000,199500,197035.5625,453539
2018-03-26,201000,203000,196500,201500,199010.8594,251989
2018-03-27,204000,205500,200000,201000,198517.0313,277273
2018-03-28,199000,199000,196000,197000,194566.4531,413634
2018-03-29,197000,197500,190000,191000,188640.5625,447080
2018-03-30,194500,195000,192500,192500,190122.0313,227870
2018-04-02,200000,204000,199000,199500,197035.5625,583028
2018-04-03,197000,199000,193500,197500,195060.2656,287353
2018-04-04,197000,197500,189000,189500,187159.0938,363317
2018-04-05,190500,194000,189500,191000,188640.5625,238497
2018-04-06,191500,193000,190000,191000,188640.5625,188792
2018-04-09,191000,193000,190000,191500,189134.375,143533
2018-04-10,190500,191000,184000,186000,183702.3281,349119
2018-04-11,191000,192500,186000,187000,184689.9688,279502
2018-04-12,189000,192000,187000,189500,187159.0938,374912
2018-04-13,191500,196000,191000,192500,190122.0313,441237
2018-04-16,194000,195500,191500,192500,190122.0313,168140
2018-04-17,192000,194500,190000,193000,190615.8594,146298
2018-04-18,194000,194500,192000,192000,189628.2031,150286
2018-04-19,192000,192000,188000,189500,187159.0938,230395
2018-04-20,188500,189000,185500,186000,183702.3281,244574
2018-04-23,187000,189500,186000,188000,185677.625,161518
2018-04-24,188000,188500,182000,182500,180245.5781,286740
2018-04-25,182000,182000,174500,176000,173825.8438,442091
2018-04-26,176000,181500,175500,178500,176294.9844,250411
2018-04-27,179500,183000,179500,180500,178270.2656,176874
2018-04-30,180000,184500,180000,183500,181233.2031,164700
2018-05-02,184500,185000,181000,183000,180739.3906,234717
2018-05-03,185500,188500,184500,186500,184196.1563,463265
2018-05-04,183000,183500,180000,180500,178270.2656,318547
2018-05-08,179000,186000,179000,184000,181727.0313,231245
2018-05-09,183000,192500,182000,191000,188640.5625,324011
2018-05-10,190000,192500,189000,190500,188146.75,395033
2018-05-11,193500,193500,189500,191000,188640.5625,180729
2018-05-14,193000,201500,192000,200000,197529.375,456025
2018-05-15,199000,199000,193000,196000,193578.7969,222045
2018-05-16,194000,197500,192500,196000,193578.7969,133710
2018-05-17,199000,204500,198000,200000,197529.375,396906
2018-05-18,201500,201500,194000,195000,192591.1563,225423
2018-05-21,195000,199000,192500,198000,195554.0938,188601
2018-05-23,205500,210000,204000,204500,201973.7969,660136
2018-05-24,202000,206500,200000,204500,201973.7969,266881
2018-05-25,204500,208500,202000,207000,204442.9219,428069
2018-05-28,207000,211000,203500,209000,206418.2188,271231
2018-05-29,211000,211500,207500,211500,208887.3281,316690
2018-05-30,209000,210000,203500,206000,203455.2813,343970
2018-05-31,206500,206500,200500,200500,198023.2188,466438
2018-06-01,201000,210500,200000,209000,206418.2188,357994
2018-06-04,209000,219000,208500,219000,216294.6875,610620
2018-06-05,217500,218000,213000,215000,212344.0781,327625
2018-06-07,220500,226500,219000,222000,219257.6094,790086
2018-06-08,221500,226000,221000,225500,222714.375,401108
2018-06-11,220500,226000,220000,224000,221232.9219,361724
2018-06-12,226500,230000,225000,230000,227158.7969,485510
2018-06-14,230000,235000,227000,227000,224195.8594,529005
2018-06-15,233000,237000,231000,235500,232590.8594,635346
2018-06-18,235500,236000,220500,223000,220245.2656,646476
2018-06-19,222000,225500,215500,216000,213331.75,531324
